id,output
q_0,A. condensation
q_1,Antonella earned $950.
q_2,Warner Bros. Records
q_3,she has already saved:
q_4,"the number of Catholics in Victoria is approximately 1,800,000."
q_5,The Tower Theatre was built in 1939.
q_6,Xzibit is known for his partnership with Snoop Dogg.
q_7,Daisy bought 3 pounds of carrots.
q_8,185美元
q_9,(A) green ball
q_10,Yes.
q_11,The highest reference hospital in all of Poland is the Children's Memorial Health Institute (CMHI).
q_12,"No, Bombyx mori does not have a monopoly over silk production."
q_13,100
q_14,The total number of articles published by both websites in February is 760.
q_15,The remaining cake weighs 15 ounces.
q_16,(C) The Lion King
q_17,The dissolution of the Holy Roman Empire was caused by Napoleon Bonaparte.
q_18,(B) little old green snorkeling sweater
q_19,约翰一周喝 10 杯水。
q_20,C. There would be nothing left of the chair.
q_21,"No, the Louvre's pyramid is not known for being unbreakable."
q_22,the number of country villages is not specified in the passage.
q_23,No
q_24,Wolverine/Nick Fury: The Scorpio Connection
q_25,B. chemical energy into radiant energy
q_26,C. It helps hide the birds while they sit on their nests.
q_27,A. Water can change phase.
q_28,"Janet pagó $1,440."
q_29,D. respiratory
q_30,It is always possible to model forces as being due to the gradients of microscopic potentials.
q_31,Madagascar
q_32,The first bird released by Noah was a raven.
q_33,$215
q_34,Breakfast at Tiffany's
q_35,The bus traveled 300 miles and the car traveled 240 miles. The bus went 60 miles farther than the car.
q_36,$120
q_37,A. to perform repetitive tasks
q_38,"The US TV series is ""The Many Loves of Dobie Gillis."""
q_39,B. a tornado
q_40,Argentina
q_41,(E) 02/03/2017
q_42,The EU has operated among a decreasing plurality of national and globalising legal systems.
q_43,(A) blue present
q_44,18*
q_45,World War II
q_46,"B. Identify the problem, explore possible solutions, select a solution, and evaluate the solution."
q_47,"67"""
q_48,the total revenue from selling them is:
q_49,A. shivering in cold temperatures
q_50,A. wind energy
q_51,The LA Galaxy were never suspended; they continue to be an active Major League Soccer team.
q_52,Yes.
q_53,Bahrain
q_54,"Donc, elle doit garder l'enfant 2 fois, car 9 × 2 = 18 œufs, ce qui est suffisant pour faire 15 gâteaux."
q_55,20%*
q_56,(C) Ambiguous
q_57,30ドル
q_58,C. grow a thicker coat of fur
q_59,A. Archaebacteria
q_60,"No, the Coen brothers never collaborated with the Brothers Grimm. The Coen brothers were born in 1954 and 1957, while the Brothers Grimm died in 1859 and 1863. There is no overlap in their lifetimes, making collaboration impossible."
q_61,- Remaining after second harvest: 8
q_62,Wisconsin
q_63,$48
q_64,Wolfgang Amadeus Mozart composed the opera *Così Fan Tutte*.
q_65,6 - 3 = 3 \text{
q_66,"Workers working less can lead to a decrease in overall productivity for a business, as reduced labor input may not be fully offset by increased capital investment or automation. While automation can enhance the productivity of remaining workers, the overall output of the business may decline if the reduction in labor is not matched by corresponding increases in capital efficiency or technological advancement. This can result in lower total production, reduced profitability, and potential economic stagnation."
q_67,2500
q_68,12
q_69,Shen Kuo
q_70,Sir Robert Walpole
q_71,D. 210 km/h
q_72,Russia
q_73,C. a graduated cylinder and a balance
q_74,4. **Marta
q_75,14
q_76,"No. The Supreme Court has nine seats, but there have been fifteen Prime Ministers of the United Kingdom since 1952."
q_77,150
q_78,**25**
q_79,B. muscular movement
q_80,Rosie O'Donnell
q_81,"Both Spider-Man and Spider-Man in film share the common element of being based on the Marvel Comics character Spider-Man, who is the alter-ego of Peter Parker, a young man with superhuman abilities gained from a radioactive spider bite."
q_82,D. circulatory system
q_83,A. heat insulation.
q_84,Total number of people that entered the restaurant on that day is 250.
q_85,The redwood
q_86,(B) black ball
q_87,"Craig starts with $40. He spends $12 on squirt guns and $9 on water balloons, leaving him with $19."
q_88,The FIS was founded in 1989.
q_89,04/27/2004
q_90,No.
q_91,Simply Red
q_92,12
q_93,Sperm whale
q_94,10
q_95,Slaughterhouse-Five
q_96,"October 15, 2000"
q_97,Barry White
q_98,17500
q_99,Rankine cycle
q_100,"The Commonwealth of England, Scotland, and Ireland."
q_101,(G) Catch-22
q_102,"No, chemicals in onions cannot help create a thermonuclear bomb. While sulfenic acid contains hydrogen, it is not capable of sustaining the nuclear fusion reactions required for a thermonuclear bomb. The conditions necessary for such a reaction, including extreme temperatures and pressures, are not achievable through the chemical processes in onions."
q_103,< [ ] >
q_104,"No, there are no Americans still enlisted in the Confederate States Army. The Confederate States Army disbanded in 1865 following the end of the American Civil War. The last living Confederate soldier died in 1951."
q_105,Total project: 1800
q_106,"$25 + $10 = $35. Therefore, $50 - $35 = $15 is left. The answer is $15."
q_107,"K in SPCK stands for ""Kingdom."""
q_108,The mechanic earned $40 more on Thursday.
q_109,The last dog needs to walk 4 miles.
q_110,(D) Named Entities
q_111,**Total Instagram likes: 16
q_112,Cyclic Defrost
q_113,Cost for normal movies: 24
q_114,(D) kite
q_115,"No, petroleum jelly cannot be used as fuel in a car. Petroleum is a highly reactive liquid used to power cars, while petroleum jelly is a solid substance used as an ointment on cuts and scrapes to promote healing. Petroleum jelly does not oxidize on exposure to the air and is not readily acted on by chemical reagents."
q_116,No.
q_117,"Yes, Supernatural broke the 2001 CW debuting shows' seasons record. Smallville, which debuted on the CW in 2001, had the record of most CW seasons for a show with 10. Supernatural concluded its run with its record breaking 15th season on the CW."
q_118,The First Company Law Directive article 11 does not require incorporations to be nullified for any reason other than a fixed list of reasons.
q_119,"Yes, people with swallowing disorders often need high viscosity drinks to ensure safe swallowing and reduce the risk of aspiration."
q_120,25 + 5 = 30
q_121,C. trees losing their leaves in the fall
q_122,the Hwasong-15 missile cannot reach Voyager 2.
q_123,"September 25, 2017"
q_124,B. burning coal
q_125,720 grams of cat food will last 12 days.
q_126,"C. No, because ocean water is too salty for plants grown on land."
q_127,"Yes, lettuce can potentially result in spontaneous abortion if it is contaminated with *Listeria monocytogenes*, which can cause listeriosis. This infection in pregnant women may lead to intrauterine or cervical infections, increasing the risk of spontaneous abortion."
q_128,5 more than that is $ 204 +
q_129,600
q_130,No. 500GB is not enough to save 10 hours of Netflix shows a day.
q_131,18
q_132,90 liters.
q_133,Thoreau argues that usually majority rules but their views collectively are sometimes wrong.
q_134,he had more children than he had wives.
q_135,B. opening a trashcan looking for food
q_136,2 March 1972
q_137,Sikhism
q_138,"In general relativity, what is viewed as a force is the time derivative of the changing momentum of the object, which is interpreted as the ""gravitational force."""
q_139,(F) Facts
q_140,Il Divo
q_141,(A) white present
q_142,C. The Moon has little water and oxygen.
q_143,Syria
q_144,"Yes, swastikas are used in the most common religion in India, which is Hinduism."
q_145,周日中午，粉色塑料火烈鸟比白色塑料火烈鸟多出 12 只。
q_146,91%
q_147,"The Other Magpie was a Crow woman who fought in the Battle of the Rosebud on June 17, 1876."
q_148,20
q_149,Magnetic stratigraphers precisely date magnetic reversals.
q_150,No.
q_151,No.
q_152,Kofi Annan
q_153,You have 5 fruits.
q_154,The Berlin Huguenots switched to German from French in their services as a protest against the occupation of Prussia by Napoleon in 1806-07.
q_155,"Temujin, as the founder of the Mongol Empire, would likely not have felt jealousy toward Charlemagne's conquests, as their ambitions and historical contexts were vastly different. While both were powerful leaders, the Mongol Empire's scale and impact on global history far exceeded that of Charlemagne's Frankish Empire."
q_156,D. pull a magnet through the mixture
q_157,A. The boiling point of oxygen is colder than room temperature.
q_158,John can make 90 small bags.
q_159,$$
q_160,Approximately 650 locations.
q_161,Manzanares
q_162,Kathleen O'Brien of Shepardson Microsystems
q_163,Branwell Bronte
q_164,Our American Cousin
q_165,Hinduism
q_166,Asterix
q_167,- Brianna's
q_168,1945 to 1951
q_169,"December 7, 1917"
q_170,The Council of the European Union was not given authority to designate an agenda.
q_171,[ [ [ [ < { ( ) } ( ) > { ( ) } ] { ( ) } ]
q_172,400人
q_173,{ < { } > { ( ) } > }
q_174,The population of the Dutch Republic before this emigration was approximately 2 million.
q_175,The smallest marine mammal is the sea otter.
q_176,01/02/2007
q_177,"Yes, an uninsured person would be more likely than an insured person to decline a CT scan due to the high out-of-pocket cost of up to $5,000, compared to insurance coverage or reimbursement for insured individuals."
q_178,Nero
q_179,(D) kite
q_180,Gower Peninsula
q_181,You have 7 animals.
q_182,"The occupation of St. Peter, the leader of the Apostles, was that of a fisherman."
q_183,"The former Midlothian County Buildings face Parliament Square, High Street and George IV Bridge in Edinburgh."
q_184,Sophia can drive 300 miles on a single tank of gas.
q_185,C. Label all test tubes and bottles correctly.
q_186,"No, being good at Guitar Hero does not make you a good guitarist."
q_187,the endowment would not be sufficient to pay off the MBTA debt.
q_188,"No, most high school head coaches do not make as much as the Head Coach at NCSU. The average high school head coach makes about $41,000, while the head coach at NCSU makes about $1.8 million."
q_189,General relativity
q_190,4台 / 20台 × 100% = 20%
q_191,Oche
q_192,16*
q_193,$229.50
q_194,(E) four
q_195,"Stetson ate 2/5 of 60 oranges, which is 24 oranges. At $10 per orange, he gave up $240."
q_196,B. renewable.
q_197,9 ফুট
q_198,James has 16 Facebook friends.
q_199,Nusretiye Mosque
q_200,You ended up paying $60.
q_201,C. salt water
q_202,Dublin
q_203,D. allowing runoff from agricultural fields
q_204,D. 2C_{2}H_{6} + 7O_{2} -> 4CO_{2} + 6H_{2}O
q_205,"Brussels sprouts are particularly good for adrenal fatigue because they are rich in vitamin C, which is essential for adrenal function. When stress levels rise, the adrenal glands require more vitamin C, and it is used more quickly. Consuming vitamin C-rich foods like Brussels sprouts can help support the adrenal glands during times of stress."
q_206,Major League Soccer
q_207,they do not rank in terms of population within the EU.
q_208,- Réduction de 10 % : $
q_209,Temur Khan's Chinese-style name was Chengzong.
q_210,"Yes, both ""The Stuff of Legend"" and ""Babes in Toyland"" are forms of entertainment."
q_211,Sapsali
q_212,"No. Bucharest is located in Eastern Europe, while Egypt is located in Africa. Although most of Africa is south of Europe, Bucharest is not south of Egypt."
q_213,Queen Joan of Navarre was the stepmother of King Henry VI of England.
q_214,50
q_215,Germany
q_216,"Yes, Edward Snowden could have visited the headquarters of the United Nations Conference on Trade and Development (UNCTAD) in Geneva, Switzerland, as he was stationed there in 2007 representing the United States at the UN."
q_217,(D) kite
q_218,Yes.
q_219,No.
q_220,"No, Naruto did not escape the Temple of Doom. Naruto is a character from the Japanese anime and manga series *Naruto*, while the Temple of Doom is a fictional location from the *Indiana Jones* film series. The two are from entirely different fictional universes and have no direct connection."
q_221,B. It is released to the surroundings as heat.
q_222,"Yes, Thanksgiving is sometimes considered a day of mourning by Native Americans in the United States, who often reflect on the genocide and brutalization of their people during the colonization period."
q_223,Danish Social Liberal Party
q_224,ジャネットには現在75本のペンがあります。
q_225,"the total number of students in the school is 600. Since the question asks for the number of girls, and 40% are boys, the remaining"
q_226,"Yes, door to door advertising is considered inconsiderate during the pandemic due to the increased risk of virus transmission through close contact and unnecessary interaction."
q_227,The University of Chicago.
q_228,36 eggs divided by 4 children equals 9 eggs per child.
q_229,"- Ensemble, ils en mangent : $"
q_230,12
q_231,"she earns 20 * $2 = $40. She uses this money to buy a new rope at $1.5 per meter, so she can buy 40 / 1.5 = 26.67 meters. Since she can't buy a fraction of a meter, she can only buy 26 meters. The cost of the new rope is 26 * $1.5 = $39. She will have $40 - $39 = $1 left over."
q_232,"$104,000"
q_233,the plants were opened around that time.
q_234,D. contains air pockets.
q_235,(B) lovely normal-size spherical green Nigerian exercise ship
q_236,(D) Named Entities
q_237,"C. 50% black, 50% white"
q_238,(C) Hot Girls Wanted
q_239,13
q_240,12
q_241,B. Producer -> Consumer -> Decomposer
q_242,22
q_243,"No, the Nazis did not use the Hammer and Sickle flag. The Hammer and Sickle is a communist symbol associated with the Soviet Union and other communist movements. The Nazi flag featured a swastika, not the Hammer and Sickle. The Hammer and Sickle was used as an anti-Nazi symbol during World War II by resistance groups and allies opposing Nazi Germany."
q_244,"Let the number of students who like to play video games be $ x $, and the number who like to"
q_245,C. ethical
q_246,"No, a blooming onion would not be possible with a shallot."
q_247,Yes.
q_248,A. hairs on the back stand up when scared
q_249,Bedrich Smetana
q_250,Anatoly Lunacharsky
q_251,310
q_252,"No. The Supreme Court of Canada cannot fight a Lucha trios match because it is not a wrestling organization or a group of individuals capable of participating in such a match. A Lucha trios match requires at least two teams of three wrestlers each, while the Supreme Court of Canada is a judicial body composed of nine justices, not wrestlers."
q_253,Goldbach's conjecture
q_254,(B) nothing hill
q_255,Liam Cunningham
q_256,Kuwait
q_257,(D) The Odyssey
q_258,B. endothermic
q_259,weakens the coffee.
q_260,4. Subset Sum Problem
q_261,16
q_262,Fiat Chrysler Automobiles N.V.
q_263,"No, the Israelis have not played the Hammerstein Ballroom."
q_264,"Yes, COVID-19 can spread to maritime pilots as they are human beings and the virus can spread among the human population."
q_265,No.
q_266,$ 73.56
q_267,Epoxides
q_268,Spamarama
q_269,ExxonMobil has operations in 96 countries.
q_270,"""Wingin' It"" and ""Frenemies"""
q_271,Martha is 24 - 4 = 20 years old.
q_272,Hitachi
q_273,40
q_274,The customer paid $43 on this shopping trip.
q_275,16
q_276,No
q_277,The Iroquois Confederation controlled much of present-day Upstate New York and the Ohio Country.
q_278,(A) pink ball
q_279,"No, the United States is not the largest exporter of Fair Trade products. Fair Trade products are typically exported from developing countries to wealthier nations like the United States, which is not a developing country."
q_280,"The city that hosted the Olympics where Taiwan competed as Chinese Taipei is Calgary, situated at the confluence of the Bow River and the Elbow River."
q_281,(D) 5pm to 7pm
q_282,synforms
q_283,The military forces in Jacksonville are the third largest military presence in the United States.
q_284,D. They bind to mRNA.
q_285,Store and forward switching
q_286,Yes
q_287,1250
q_288,Henry Lau
q_289,"James made $15,000."
q_290,A large green dinosaur silhouette.
q_291,Both science and government share the common goal of protecting public welfare and ensuring environmental sustainability.
q_292,Daniel François Esprit Auber
q_293,Yes.
q_294,The first Hanoverian King of Great Britain was King George I.
q_295,A. Air is a mixture of gases.
q_296,"No. The number of unemployed people in 1933 (15 million) far exceeds the capacity of Tiger Stadium (around 50,000)."
q_297,No.
q_298,12
q_299,B. The sea level will rise.
q_300,No
q_301,10
q_302,The Wesel-Datteln Canal runs parallel to the Lippe.
q_303,A. help eliminate body wastes.
q_304,D. NaCl + H₂O
q_305,"The aim of the additional stroke in the uniflow engine is to ensure that the steam flows only in one direction, thereby preventing the cooling of the port and cylinder walls by the exhaust steam and improving overall efficiency."
q_306,the number of bales left in the field is 30 - 18 = 12.
q_307,No.
q_308,{ ( ( ) ( { ( < ( ) > ) } ) }
q_309,United States Naval Special Warfare Development Group (DEVGRU)
q_310,B. solar
q_311,每列火车行驶了 80 英里 + 150 英里 = 230 英里。
q_312,Revenue from department store = 31
q_313,C. one that lives under the ground
q_314,"Yes, hypothetically, Darth Vader could catch the Coronavirus. The virus is transmitted through respiratory droplets that can enter the body through the eyes, nose, or mouth. Since Darth Vader wears a breathing apparatus that covers his mouth and nose, he is not fully protected from airborne transmission. Additionally, if the virus were present in the environment or in the air, he could still be exposed through his breathing apparatus."
q_315,Daniel Boone
q_316,Home Guard
q_317,"Yes, you should bring your own bags to Aldi. Unlike most grocery stores, Aldi charges customers for paper bags and does not supply shopping carts without a deposit, making shopping bags a good alternative."
q_318,C. people who sell fish from the wild
q_319,60
q_320,Sonic Mania
q_321,La somme des âges des quatre oiseaux est 34 ans.
q_322,(C) 3pm to 9pm
q_323,(D) 4pm to 8pm
q_324,"The sentence ""Jerry Jeudy killed the powerplay"" is not plausible."
q_325,((-6 + -9 - -6 + -4) * (-1 - -6 + -4 - 3)) = 10
q_326,(D) kite
q_327,"Yes, both Korematsu v. United States and Chaplinsky v. New Hampshire cases regard the rights of U. S. citizens."
q_328,Samuel P. Huntington
q_329,Each watermelon was sold for $2.50.
q_330,The eastern canal regulation of the Rhine is at Fußach.
q_331,Jennifer Ventimilia
q_332,Saint Louis University
q_333,Queen Victoria
q_334,"Colloblasts are specialized mushroom-shaped cells in the outer layer of the epidermis of cydippid ctenophores, consisting of a domed head with adhesive-containing vesicles, a stalk that anchors the cell, and a spiral thread that may absorb stress to prevent the cell from tearing during prey capture."
q_335,B. begging for food
q_336,$30000
q_337,a typical complexity class has a definition like the following: What has complicated definitions that prevent classification into a framework?
q_338,Bailey hatte am Anfang 20 US-Dollar.
q_339,Los Angeles is in the lower part of Alta California.
q_340,Vipande vingi 16.
q_341,"- Tim's time = 10,560 ÷ 264 ="
q_342,Seoul is the 16th largest city in the world by population.
q_343,D. Carbohydrates stored in fruits and vegetables.
q_344,Mille Miglia
q_345,210
q_346,Since one bag contains 50 pounds of oats
q_347,"Pauli repulsion is caused by the fermionic nature of electrons, which obey the Pauli exclusion principle. This principle states that no two fermions (such as electrons) can occupy the same quantum state simultaneously. When electron clouds of atoms overlap at close contact, this principle leads to a repulsive force that prevents the atoms from occupying the same space, resulting in the Pauli repulsion."
q_348,(E) 63
q_349,C. trees
q_350,Shayne Ward
q_351,"used for couples dealing with relationship issues and for individuals experiencing grief, which is a common reason for seeking therapy."
q_352,$154
q_353,*$2*
q_354,Goat Island
